ComponentId,SourceProject,DestinationProject,ConfigurationId,ConfigurationName,DateTime,Status,StatusText
keboola.snowflake-transformation,L0 Nekter,L0 DEV,1065716016,[ADHOC] QU certification,2024-09-19 13:33:54,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] QU certification** at 2024-09-19 13:33:54
keboola.python-transformation-v2,L0 Nekter,L0 DEV,1170546652,[Init] Initial accounting data loading,2024-09-19 13:33:54,Success,**Migrated**: keboola.python-transformation-v2 **[Init] Initial accounting data loading** at 2024-09-19 13:33:54
keboola.shared-code,L2 Nekter,L2 DEV,shared-codes.snowflake-transformation,Shared Code,2024-09-19 14:44:14,Success,**Migrated**: keboola.shared-code **Shared Code** at 2024-09-19 14:44:14
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104920879,[ADHOC] DimDiscount Test,2024-09-19 14:44:19,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimDiscount Test** at 2024-09-19 14:44:19
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104920961,[ADHOC] DimOrderHeader Test,2024-09-19 14:44:19,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimOrderHeader Test** at 2024-09-19 14:44:19
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1103499619,[ADHOC] DimPersonTest,2024-09-19 14:44:19,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimPersonTest** at 2024-09-19 14:44:19
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1101759607,[ADHOC] DimOrderHeaderTest,2024-09-19 14:44:19,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimOrderHeaderTest** at 2024-09-19 14:44:19
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104921041,[ADHOC] DimPerson Test Olo,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimPerson Test Olo** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104921103,[ADHOC] DimProduct Test Olo,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimProduct Test Olo** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1103502381,[ADHOC] DimProductTest,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimProductTest** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1078565473,[ADHOC] DimDiscount (Copy),2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] DimDiscount (Copy)** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104034517,[ADHOC] FactOrderPaymentTest,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] FactOrderPaymentTest** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1070955807,[ADHOC] FactOrders Qu,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] FactOrders Qu** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1104035159,[ADHOC] FactOrderDiscountTest,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] FactOrderDiscountTest** at 2024-09-19 14:44:20
keboola.snowflake-transformation,L2 Nekter,L2 DEV,1062655920,[ADHOC] Initial dim_site,2024-09-19 14:44:20,Success,**Migrated**: keboola.snowflake-transformation **[ADHOC] Initial dim_site** at 2024-09-19 14:44:20
